Name;RegistrationNo;BusinessType;Status;DateOfIncorporation;Agent
LANDPRIME LIMITED;23627;BC-Business Company;Active;21/09/2016 00:00;Wilfred Services Ltd.
TradingPro International Ltd;24611;BC-Business Company;Active;23/03/2018 00:00;Wilfred Services Ltd.
M & P LIME SHIPPING LIMITED;7401;BC-Business Company;Active;13/11/2000 00:00;Wilfred Services Ltd.
BLACKRIDGE CAPITAL MANAGEMENT LTD;24636;BC-Business Company;Active;04/04/2018 00:00;Wilfred Services Ltd.
PERFECTGOLD CAPITAL LTD.;23877;BC-Business Company;Active;28/02/2017 00:00;Wilfred Services Ltd.
Union Business Online Ltd;20583;BC-Business Company;Active;09/08/2012 00:00;Wilfred Services Ltd.
EARLHAM HOLDINGS LIMITED;11323;BC-Business Company;Active;06/09/2004 00:00;St. Vincent Trust Company Ltd.
HORNBILL TRUST;894;International Trust;Active;28/05/2004 00:00;St. Vincent Trust Company Ltd.
HUDSWELL HOLDINGS LIMITED;11313;BC-Business Company;Active;01/09/2004 00:00;St. Vincent Trust Company Ltd.
CRAVE INVESTMENTS S.A.;12281;BC-Business Company;Active;01/06/2005 00:00;St. Vincent Trust Company Ltd.
AYLESBURY HOLDINGS LIMITED;10631;BC-Business Company;Active;19/12/2003 00:00;St. Vincent Trust Company Ltd.
BACRO SETTLEMENT;834;International Trust;Active;05/11/2001 00:00;St. Vincent Trust Company Ltd.
BLENHEIM HOLDINGS LIMITED;10632;BC-Business Company;Active;19/12/2003 00:00;St. Vincent Trust Company Ltd.
FILTON HOLDINGS LIMITED;10635;BC-Business Company;Active;19/12/2003 00:00;St. Vincent Trust Company Ltd.
FIMORA TRUST;892;International Trust;Active;17/05/2004 00:00;St. Vincent Trust Company Ltd.
HOFSTETTER TRUST;908;International Trust;Active;31/01/2006 00:00;St. Vincent Trust Company Ltd.
KENDAL HOLDINGS LIMITED;11643;BC-Business Company;Active;17/12/2004 00:00;St. Vincent Trust Company Ltd.
RODIN TRUST;247;International Trust;Active;29/01/1999 00:00;St. Vincent Trust Company Ltd.
SAHANA TRUST;390;International Trust;Active;09/08/1999 00:00;St. Vincent Trust Company Ltd.
SECOND ARM TRUST;1113;International Trust;Active;14/11/2016 00:00;St. Vincent Trust Company Ltd.
THE AP-SHELL TRUST;938;International Trust;Active;19/06/2007 00:00;St. Vincent Trust Company Ltd.
THE RB-SHELL TRUST;939;International Trust;Active;19/06/2007 00:00;St. Vincent Trust Company Ltd.
THE VARUN TRUST;940;International Trust;Active;19/06/2007 00:00;St. Vincent Trust Company Ltd.
PETERS HOLDINGS LIMITED;20753;BC-Business Company;Active;11/10/2012 00:00;St. Vincent Trust Company Ltd.
ROLAND HOLDINGS LIMITED;20754;BC-Business Company;Active;11/10/2012 00:00;St. Vincent Trust Company Ltd.
SIEGFRIED HOLDINGS LIMITED;20755;BC-Business Company;Active;11/10/2012 00:00;St. Vincent Trust Company Ltd.
CARLTON FINANCE AND INVESTMENTS LIMITED;10357;BC-Business Company;Active;09/09/2003 00:00;St. Vincent Trust Company Ltd.
LUDLOW HOLDINGS LIMITED;11644;BC-Business Company;Active;17/12/2004 00:00;St. Vincent Trust Company Ltd.
ASCOT SETTLEMENT;1152;International Trust;Active;26/11/2020 14:14;St. Vincent Trust Company Ltd.
EATON SETTLEMENT;1153;International Trust;Active;26/11/2020 14:14;St. Vincent Trust Company Ltd.
SIEGFRIED SETTLEMENT;1148;International Trust;Active;23/10/2020 14:17;St. Vincent Trust Company Ltd.
ROLAND SETTLEMENT;1149;International Trust;Active;23/10/2020 14:17;St. Vincent Trust Company Ltd.
GREYFRIARS SETTLEMENT;1158;International Trust;Active;09/02/2021 15:35;St. Vincent Trust Company Ltd.
FENTON SETTLEMENT;1159;International Trust;Active;09/02/2021 15:35;St. Vincent Trust Company Ltd.
THE FODDERTY TRUST;1161;International Trust;Active;15/06/2021 15:14;St. Vincent Trust Company Ltd.
Knaresborough Settlement;1162;International Trust;Active;07/07/2021 00:00;St. Vincent Trust Company Ltd.
Universal Ibogaine SVG Inc.;1649;BC-Continued;Cancellation Pending;25/06/2021 13:32;International Business Services Ltd.
IPC Corporate Finance LLC;1238;LLC-Continued;Active;06/07/2021 12:42;International Business Services Ltd.
SEIF Service LLC;1236;LLC-Limited Liability Company;Active;05/07/2021 13:20;International Business Services Ltd.
Coleman Textiles LLC;1229;LLC-Continued;Active;30/06/2021 13:53;International Business Services Ltd.
Monro Investments LLC;1230;LLC-Continued;Active;30/06/2021 13:58;International Business Services Ltd.
LiquidXM LLC;1217;LLC-Limited Liability Company;Active;29/06/2021 15:10;International Business Services Ltd.
Melegar Investments LLC;1218;LLC-Limited Liability Company;Active;29/06/2021 15:10;International Business Services Ltd.
HEADLAND WEST INDIES CORP.;1650;BC-Continued;Active;25/06/2021 15:25;International Business Services Ltd.
LFV INTERNATIONAL AVIATION BROKERS LLC;1169;LLC-Continued;Active;14/06/2021 15:13;International Business Services Ltd.
UBX Software LLC;1170;LLC-Limited Liability Company;Active;15/06/2021 11:12;International Business Services Ltd.
Globex (Bahamas) LLC;1178;LLC-Limited Liability Company;Active;17/06/2021 12:45;International Business Services Ltd.
Globex (Europe) LLC;1179;LLC-Limited Liability Company;Active;17/06/2021 12:45;International Business Services Ltd.
Globex (Mauritius) LLC;1180;LLC-Limited Liability Company;Active;17/06/2021 12:45;International Business Services Ltd.
Globex (Seychelles) LLC;1181;LLC-Limited Liability Company;Active;17/06/2021 12:45;International Business Services Ltd.
Globex (Vanuatu) LLC;1182;LLC-Limited Liability Company;Active;17/06/2021 12:45;International Business Services Ltd.
Verta International LLC;1183;LLC-Limited Liability Company;Active;17/06/2021 12:45;International Business Services Ltd.
Unicorn financial services LLC;1139;LLC-Limited Liability Company;Active;03/06/2021 12:23;International Business Services Ltd.
SIRIUS CAPITAL PARTNERS LLC;1140;LLC-Continued;Active;03/06/2021 12:30;International Business Services Ltd.
Willbrook Assets LLC;1154;LLC-Limited Liability Company;Active;09/06/2021 12:49;International Business Services Ltd.
ELYSIVM CAPITAL LLC;1110;LLC-Continued;Active;25/05/2021 16:05;International Business Services Ltd.
CGTI LLC;1106;LLC-Continued;Active;25/05/2021 13:33;International Business Services Ltd.
SVG Biomed LLC;1107;LLC-Continued;Active;25/05/2021 13:38;International Business Services Ltd.
AJORI VENTURES LLC;1102;LLC-Limited Liability Company;Active;20/05/2021 15:56;International Business Services Ltd.
TDM Holdings LLC;1092;LLC-Limited Liability Company;Active;19/05/2021 13:36;International Business Services Ltd.
SeGMa Investments LLC;969;LLC-Limited Liability Company;Active;07/04/2021 13:43;International Business Services Ltd.
JANT B INVESTMENTS (SVG) INC;26253;BC-Business Company;Active;31/03/2021 12:32;International Business Services Ltd.
Ajori Retreats LLC;1025;LLC-Limited Liability Company;Active;28/04/2021 12:55;International Business Services Ltd.
Lewis Licensing LLC;1027;LLC-Limited Liability Company;Active;28/04/2021 12:55;International Business Services Ltd.
FOREX CLUB INTERNATIONAL LLC;1277;LLC-Continued;Active;23/07/2021 14:09;International Business Services Ltd.
Libertex International Company LLC;1278;LLC-Continued;Active;23/07/2021 14:09;International Business Services Ltd.
G.P.I., LLC;1308;LLC-Continued;Active;20/08/2021 13:40;International Business Services Ltd.
LTC International LLC;1355;LLC-Limited Liability Company;Active;26/08/2021 15:01;International Business Services Ltd.
PORTEFIELD INVESTMENTS LLC;1501;LLC-Continued;Active;13/10/2021 14:04;International Business Services Ltd.
SUNDANCE SERVICES LLC;1502;LLC-Continued;Active;13/10/2021 14:17;International Business Services Ltd.
BEDFORD CAPITAL LLC;1505;LLC-Continued;Active;14/10/2021 13:44;International Business Services Ltd.
INGOT BROKER LLC;1386;LLC-Continued;Active;10/09/2021 13:24;International Business Services Ltd.
MAIN GROUP LLC;1418;LLC-Limited Liability Company;Active;17/09/2021 15:06;International Business Services Ltd.
MELTIN GROUP LLC;1411;LLC-Limited Liability Company;Active;16/09/2021 13:48;International Business Services Ltd.
Reimf Company LLC;1412;LLC-Limited Liability Company;Active;16/09/2021 13:48;International Business Services Ltd.
Immersys LLC;1483;LLC-Limited Liability Company;Active;06/10/2021 13:10;International Business Services Ltd.
JD Wilson Global LLC;1484;LLC-Limited Liability Company;Active;06/10/2021 13:10;International Business Services Ltd.
Chaine du Lac LLC;841;LLC-Limited Liability Company;Active;05/02/2021 00:00;International Business Services Ltd.
7AXIOM LLC;842;LLC-Limited Liability Company;Active;05/02/2021 00:00;International Business Services Ltd.
Fin Trend LLC;843;LLC-Limited Liability Company;Active;08/02/2021 12:44;International Business Services Ltd.
MacMedia Global LLC;828;LLC-Limited Liability Company;Active;01/02/2021 12:58;International Business Services Ltd.
Winoma International Services LLC;832;LLC-Limited Liability Company;Active;02/02/2021 12:59;International Business Services Ltd.
Premax Capital LLC;822;LLC-Continued;Active;29/01/2021 12:46;International Business Services Ltd.
URANUS CORPORATION;26212;BC-Business Company;Cancellation Pending;10/03/2021 11:57;International Business Services Ltd.
IFCM ASIA LTD;26207;BC-Business Company;Active;09/03/2021 12:40;International Business Services Ltd.
Pixel Mediator LLC;742;LLC-Limited Liability Company;Active;10/12/2020 12:20;International Business Services Ltd.
Swisstrade LLC;724;LLC-Limited Liability Company;Active;01/12/2020 11:22;International Business Services Ltd.
Digital Investments LLC;771;LLC-Continued;Active;29/12/2020 15:54;International Business Services Ltd.
Shift Markets LLC;772;LLC-Continued;Active;29/12/2020 15:54;International Business Services Ltd.
Exchange Academy LLC;758;LLC-Limited Liability Company;Active;21/12/2020 14:24;International Business Services Ltd.
Aqua de Family LLC;760;LLC-Limited Liability Company;Active;22/12/2020 12:12;International Business Services Ltd.
AquaTech LLC;761;LLC-Limited Liability Company;Active;22/12/2020 12:12;International Business Services Ltd.
Innovative Pure Water LLC;762;LLC-Limited Liability Company;Active;22/12/2020 12:12;International Business Services Ltd.
Innovative Water Technologies LLC;763;LLC-Limited Liability Company;Active;22/12/2020 12:12;International Business Services Ltd.
LT Technologies Ltd.;26141;BC-Business Company;Cancellation Pending;20/01/2021 11:54;International Business Services Ltd.
CapXM LLC;795;LLC-Continued;Active;12/01/2021 12:08;International Business Services Ltd.
Septus LLC;373;LLC-Limited Liability Company;Active;14/05/2020 12:16;International Business Services Ltd.
Healthy Ventura LLC;344;LLC-Limited Liability Company;Active;23/04/2020 11:57;International Business Services Ltd.
Blackwell Global Investments LLC;294;LLC-Limited Liability Company;Active;09/03/2020 12:33;International Business Services Ltd.
Mitrade Markets LLC;309;LLC-Limited Liability Company;In Liquidation;26/03/2020 13:37;International Business Services Ltd.
XCL International LLC;280;LLC-Limited Liability Company;Active;26/02/2020 00:00;International Business Services Ltd.
Nexus Markets LLC;268;LLC-Limited Liability Company;Active;06/02/2020 13:53;International Business Services Ltd.
Viracocha Datos LLC;258;LLC-Limited Liability Company;Active;21/01/2020 12:10;International Business Services Ltd.
Globex Group LLC;644;LLC-Limited Liability Company;Active;19/10/2020 11:28;International Business Services Ltd.
Finteria Markets LLC;653;LLC-Limited Liability Company;Active;20/10/2020 14:36;International Business Services Ltd.
AJORI HEALTH & WELLNESS LLC;604;LLC-Limited Liability Company;Active;25/09/2020 12:41;International Business Services Ltd.
Ovonel Consult LLC;605;LLC-Limited Liability Company;Active;25/09/2020 12:41;International Business Services Ltd.
DeFactos Technology Limited;26002;BC-Business Company;Active;25/09/2020 12:41;International Business Services Ltd.
International Group LLC;584;LLC-Limited Liability Company;Active;10/09/2020 14:05;International Business Services Ltd.
Meritfox Investments Limited;25997;BC-Business Company;Active;18/09/2020 12:19;International Business Services Ltd.
Caribbean Sealiner LLC;554;LLC-Limited Liability Company;Active;21/08/2020 12:43;International Business Services Ltd.
Equinox Group LLC;448;LLC-Limited Liability Company;Active;26/06/2020 12:23;International Business Services Ltd.
CXM Direct LLC;444;LLC-Limited Liability Company;Active;23/06/2020 14:33;International Business Services Ltd.
Chaos Trade Limited;25958;BC-Business Company;Cancellation Pending;30/07/2020 16:17;International Business Services Ltd.
Kern Private Capital Limited;25961;BC-Business Company;Active;31/07/2020 15:18;International Business Services Ltd.
Mizpah Corporation LLC;525;LLC-Limited Liability Company;Active;06/08/2020 13:25;International Business Services Ltd.
Success Universe Investments LLC;526;LLC-Limited Liability Company;Active;06/08/2020 13:32;International Business Services Ltd.
Honlyco LLC;509;LLC-Limited Liability Company;Active;28/07/2020 12:14;International Business Services Ltd.
Aqua Index LLC;534;LLC-Limited Liability Company;Active;12/08/2020 12:42;International Business Services Ltd.
Prospero Markets LLC;533;LLC-Limited Liability Company;Active;10/08/2020 13:03;International Business Services Ltd.
Enerinvest LLC;1789;LLC-Continued;Active;14/01/2022 13:16;International Business Services Ltd.
Company Forex Club LLC;1780;LLC-Continued;Active;13/01/2022 12:41;International Business Services Ltd.
Advent Solutions Co., LLC;1688;LLC-Continued;Active;21/12/2021 14:16;International Business Services Ltd.
APA Auto Trading, LLC;1699;LLC-Limited Liability Company;Active;28/12/2021 00:00;International Business Services Ltd.
Sailera Marine LLC;1700;LLC-Limited Liability Company;Active;28/12/2021 13:03;International Business Services Ltd.
Mercury Investment LLC;1693;LLC-Continued;Active;22/12/2021 15:13;International Business Services Ltd.
Arkania protocol LLC;1617;LLC-Limited Liability Company;Active;26/11/2021 09:12;International Business Services Ltd.
Prufteq Limited;26542;BC-Business Company;Active;23/11/2021 12:40;International Business Services Ltd.
DECO Financial Services LLC;1605;LLC-Continued;Active;22/11/2021 13:13;International Business Services Ltd.
ArtHaus SVG Inc.;1653;BC-Continued;Active;17/11/2021 14:13;International Business Services Ltd.
U4U Labs Limited;26532;BC-Business Company;Cancellation Pending;17/11/2021 14:17;International Business Services Ltd.
Chase Digital LLC;1566;LLC-Limited Liability Company;Active;09/11/2021 11:56;International Business Services Ltd.
Vallencio LLC;1567;LLC-Limited Liability Company;Active;09/11/2021 11:56;International Business Services Ltd.
Ince-Spiration Inc.;26511;BC-Business Company;Active;04/11/2021 13:06;International Business Services Ltd.
Globesoft LLC;1678;LLC-Continued;Active;17/12/2021 10:24;International Business Services Ltd.
Equity Markets LLC;1679;LLC-Continued;Active;17/12/2021 10:28;International Business Services Ltd.
Wild River LLC;1611;LLC-Continued;Active;25/11/2021 12:32;International Business Services Ltd.
Global Corporate Staffing LLC;1612;LLC-Continued;Active;25/11/2021 12:40;International Business Services Ltd.
BINALQUANT Technologies LLC;1651;LLC-Continued;Active;07/12/2021 12:30;International Business Services Ltd.
Smart Profit Investments LLC;1658;LLC-Limited Liability Company;Active;10/12/2021 15:01;International Business Services Ltd.
Simba LLC;1655;LLC-Continued;Active;08/12/2021 14:26;International Business Services Ltd.
Hope Investments LLC;1921;LLC-Limited Liability Company;Active;23/02/2022 12:20;International Business Services Ltd.
Blocktech Business LLC;1912;LLC-Limited Liability Company;Active;21/02/2022 12:08;International Business Services Ltd.
JMF EQUITY LLC;1876;LLC-Continued;Active;10/02/2022 12:31;International Business Services Ltd.
Actimar Shipping LLC;1877;LLC-Continued;Active;10/02/2022 12:31;International Business Services Ltd.
Larson and Holz IT LLC;1991;LLC-Continued;Active;15/03/2022 13:19;International Business Services Ltd.
Seaside Holdings LLC;1974;LLC-Continued;Active;09/03/2022 12:44;International Business Services Ltd.
Greenstar fox alfa LLC;1906;LLC-Limited Liability Company;Active;18/02/2022 12:14;International Business Services Ltd.
Shadow Syndicate Inc.;26676;BC-Business Company;Active;18/03/2022 13:39;International Business Services Ltd.
WSF-Evaluation LLC;2020;LLC-Limited Liability Company;Active;18/03/2022 13:39;International Business Services Ltd.
BO Investments LLC;2058;LLC-Limited Liability Company;Active;31/03/2022 16:27;International Business Services Ltd.
Milo Investments LLC;2059;LLC-Limited Liability Company;Active;31/03/2022 16:27;International Business Services Ltd.
C&L LLC;2253;LLC-Limited Liability Company;Active;01/06/2022 11:42;International Business Services Ltd.
Quantum ONE LLC;2241;LLC-Limited Liability Company;Active;30/05/2022 11:23;International Business Services Ltd.
Theobalds Consulting Caribbean LLC;2159;LLC-Continued;Active;03/05/2022 12:21;International Business Services Ltd.
FinX Gateway LLC;2231;LLC-Limited Liability Company;Active;25/05/2022 12:42;International Business Services Ltd.
Foundation Holdings LLC;2229;LLC-Limited Liability Company;Active;24/05/2022 12:25;International Business Services Ltd.
Blue Lotus Labs LLC;2216;LLC-Limited Liability Company;Active;20/05/2022 12:02;International Business Services Ltd.
Ranunkel LLC;2217;LLC-Limited Liability Company;Active;20/05/2022 12:02;International Business Services Ltd.
Voxfields LLC;2218;LLC-Limited Liability Company;Active;20/05/2022 12:02;International Business Services Ltd.
Alibaba digital holdings LLC;2186;LLC-Limited Liability Company;Active;12/05/2022 11:52;International Business Services Ltd.
TFA, LLC;2419;LLC-Limited Liability Company;Active;26/07/2022 12:18;International Business Services Ltd.
Coex LLC;2379;LLC-Limited Liability Company;Active;14/07/2022 13:00;International Business Services Ltd.
LAKAN INTERACTIVE LLC;2380;LLC-Limited Liability Company;Active;14/07/2022 13:10;International Business Services Ltd.
Trade Wardens LLC;2313;LLC-Limited Liability Company;Active;22/06/2022 11:53;International Business Services Ltd.
WFD Financial Corp;26792;BC-Business Company;Active;30/06/2022 14:09;International Business Services Ltd.
VOLK CONSULTANTS LLC;2447;LLC-Limited Liability Company;Active;04/08/2022 11:51;International Business Services Ltd.
Galileo Network LLC;2516;LLC-Limited Liability Company;Active;29/08/2022 10:49;International Business Services Ltd.
Stratus Holdings LLC;2464;LLC-Limited Liability Company;Active;08/08/2022 14:46;International Business Services Ltd.
IYC CRUISES LTD;26836;BC-Business Company;Active;24/08/2022 12:51;International Business Services Ltd.
Crowdsurf Holdings LLC;2532;LLC-Limited Liability Company;Active;05/09/2022 11:57;International Business Services Ltd.
DEFI GLOBAL SOLUTIONS LLC;2544;LLC-Limited Liability Company;Active;07/09/2022 11:34;International Business Services Ltd.
MN IT Services LLC;2560;LLC-Limited Liability Company;Active;14/09/2022 11:57;International Business Services Ltd.
Choi's MUonoff LLC;2557;LLC-Limited Liability Company;Active;13/09/2022 11:43;International Business Services Ltd.
OLVIA SHIPPING LTD.;12552;BC-Business Company;Active;15/07/2005 00:00;International Business Services Ltd.
DIGIDALESCENT LTD.;24393;BC-Business Company;Active;30/11/2017 00:00;International Business Services Ltd.
TRADOBOX LTD.;24433;BC-Business Company;Active;28/12/2017 00:00;International Business Services Ltd.
LDN4 CAPITAL LTD.;24081;BC-Business Company;Cancellation Pending;14/06/2017 00:00;International Business Services Ltd.
SMART MEDIA LTD.;24391;BC-Business Company;Active;30/11/2017 00:00;International Business Services Ltd.
ST JAMES HOLDING VENTURES LTD;24845;BC-Business Company;Cancellation Pending;29/06/2018 00:00;International Business Services Ltd.
BRUNNER IP AGENCY LIMITED;24807;BC-Business Company;Active;08/06/2018 00:00;International Business Services Ltd.
GOLDEN CAPITAL FX INC.;23172;BC-Business Company;Active;27/01/2016 00:00;International Business Services Ltd.
One Prime Technology Ltd.;24756;BC-Business Company;Active;09/05/2018 00:00;International Business Services Ltd.
Gold Crystal Finity Limited;24753;BC-Business Company;Cancellation Pending;08/05/2018 00:00;International Business Services Ltd.
Overflow International Finance Holdings Co., Limited;25093;BC-Business Company;Cancellation Pending;26/10/2018 00:00;International Business Services Ltd.
G Investment LLC;113;LLC-Limited Liability Company;Active;16/05/2019 00:00;International Business Services Ltd.
K Investment LLC;114;LLC-Limited Liability Company;Active;16/05/2019 00:00;International Business Services Ltd.
M Investment LLC;115;LLC-Limited Liability Company;Active;09/05/2019 00:00;International Business Services Ltd.
S Investment LLC;116;LLC-Limited Liability Company;Active;16/05/2019 00:00;International Business Services Ltd.
Oryx Petroleum Group LLC;105;LLC-Limited Liability Company;Active;02/04/2019 00:00;International Business Services Ltd.
Global Transaction Market LLC;162;LLC-Limited Liability Company;Active;06/09/2019 00:00;International Business Services Ltd.
LECONS SERVICES LLC;173;LLC-Limited Liability Company;Active;26/09/2019 13:12;International Business Services Ltd.
SW Markets Limited;25607;BC-Business Company;Active;24/09/2019 12:24;International Business Services Ltd.
Jinvest eGaming Group LLC;166;LLC-Limited Liability Company;Active;16/09/2019 12:19;International Business Services Ltd.
Redstone Markets Limited;25526;BC-Business Company;Active;31/07/2019 00:00;International Business Services Ltd.
8UCX Global Pty Ltd;25562;BC-Business Company;Cancellation Pending;21/08/2019 00:00;International Business Services Ltd.
OS Markets LLC;134;LLC-Limited Liability Company;Active;24/07/2019 00:00;International Business Services Ltd.
WINDICAN HEALTH INC.;25244;BC-Business Company;Active;28/12/2018 00:00;International Business Services Ltd.
BereFX LLC;128;LLC-Limited Liability Company;Active;25/06/2019 00:00;International Business Services Ltd.
Capstone Global Markets LLC;119;LLC-Limited Liability Company;Active;22/05/2019 00:00;International Business Services Ltd.
EOS INTERNATIONAL LLC;233;LLC-Continued;Active;27/12/2019 15:02;International Business Services Ltd.
CXM Trading LLC;234;LLC-Limited Liability Company;Active;30/12/2019 11:46;International Business Services Ltd.
Papillon Technologies LLC;231;LLC-Continued;Active;12/12/2019 13:46;International Business Services Ltd.
TigerWit LLC;181;LLC-Limited Liability Company;Active;08/10/2019 11:06;International Business Services Ltd.
Axel Private Market Limited;25652;BC-Business Company;Active;31/10/2019 14:40;International Business Services Ltd.
Elegant Link Limited;25677;BC-Business Company;Cancellation Pending;20/11/2019 11:55;International Business Services Ltd.
Ocean Classic Markets Limited;25678;BC-Business Company;Cancellation Pending;20/11/2019 11:55;International Business Services Ltd.
ALLIANCE SHIPPING LTD;21968;BC-Business Company;Active;12/02/2014 00:00;International Business Services Ltd.
HSIEH CHIN RUBBER INDUSTRY CO., LTD.;13884;BC-Business Company;Active;03/08/2006 00:00;International Business Services Ltd.
LANSHERON LIMITED;17094;BC-Business Company;Cancellation Pending;01/09/2008 00:00;International Business Services Ltd.
HEXE CORPORATION LTD;20159;BC-Business Company;Active;16/02/2012 00:00;International Business Services Ltd.
IC GLOBAL LIMITED;23476;BC-Business Company;Cancellation Pending;17/06/2016 00:00;International Business Services Ltd.
INAS LIMITED;6103;BC-Business Company;Cancellation Pending;05/04/2000 00:00;International Business Services Ltd.
SILVER LAKES INC;18552;BC-Business Company;Active;20/04/2010 00:00;International Business Services Ltd.
TEGA INVESTMENT LTD.;19124;BC-Business Company;Cancellation Pending;07/01/2011 00:00;International Business Services Ltd.
TRANSGLOBAL BANK LTD.;3337;BC-Business Company;In Liquidation;25/03/1999 00:00;International Business Services Ltd.
TREND BANK LIMITED;7615;BC-Business Company;In Liquidation;15/05/2000 00:00;International Business Services Ltd.
KARINA SHIPPING LTD.;7654;BC-Business Company;Cancellation Pending;23/01/2001 00:00;International Business Services Ltd.
MARIANNA SHIPPING LTD.;7635;BC-Business Company;Cancellation Pending;11/01/2001 00:00;International Business Services Ltd.
ACACIA MANGIUM HOLDING LTD.;10532;BC-Business Company;Active;10/11/2003 00:00;International Business Services Ltd.
ACE COMMUNICATION INTERNATIONAL INC.;20694;BC-Business Company;Cancellation Pending;27/09/2012 00:00;International Business Services Ltd.
ADVANTAGE MARKETS LIMITED;24368;BC-Business Company;Active;14/11/2017 00:00;International Business Services Ltd.
AIEL INC LTD;1570;BC-Continued;Active;11/09/2015 00:00;International Business Services Ltd.
AIR TRANSWORLD LIMITED;1351;BC-Continued;Active;23/04/2008 00:00;International Business Services Ltd.
ALMANDEX GROUP LTD;22982;BC-Business Company;Cancellation Pending;16/10/2015 00:00;International Business Services Ltd.
ALPHA GROUP LTD.;20385;BC-Business Company;Active;15/05/2012 00:00;International Business Services Ltd.
ASHINIS COMPANY INC.;15077;BC-Business Company;Cancellation Pending;10/05/2007 00:00;International Business Services Ltd.
AZKA BULLION LIMITED;24152;BC-Business Company;Cancellation Pending;27/07/2017 00:00;International Business Services Ltd.
BEEWIN LTD;22966;BC-Business Company;Active;09/10/2015 00:00;International Business Services Ltd.
Big Imperial Bridge Company Limited;23356;BC-Business Company;Cancellation Pending;18/04/2016 00:00;International Business Services Ltd.
BULOT HOLDING INC.;23601;BC-Business Company;Cancellation Pending;09/09/2016 00:00;International Business Services Ltd.
Exness Bank Ltd.;19051;BC-Business Company;In Liquidation;08/12/2010 00:00;International Business Services Ltd.
CARIBBEAN WINDS LTD.;16716;BC-Business Company;Active;19/05/2008 00:00;International Business Services Ltd.
COMPANYMASTER INTERNATIONAL LTD.;22266;BC-Business Company;Cancellation Pending;30/07/2014 00:00;International Business Services Ltd.
COPPERMILL LIMITED;17844;BC-Business Company;Active;10/06/2009 00:00;International Business Services Ltd.
CRD SERVICES LTD;22797;BC-Business Company;Cancellation Pending;03/07/2015 00:00;International Business Services Ltd.
EASTERN EUROPEAN DEVELOPMENTS INC.;7155;BC-Business Company;Cancellation Pending;10/10/2000 00:00;International Business Services Ltd.
ENRC KAZAKHSTAN INC.;21621;BC-Business Company;In Liquidation;05/09/2013 00:00;International Business Services Ltd.
FS MANAGEMENT LIMITED;6983;BC-Business Company;Cancellation Pending;13/09/2000 00:00;International Business Services Ltd.
GBT CONSULTANT NV;18677;BC-Business Company;Cancellation Pending;24/06/2010 00:00;International Business Services Ltd.
GLOBAL CONCEPT LIMITED;22606;BC-Business Company;Active;26/03/2015 00:00;International Business Services Ltd.
IPC CORPORATE FINANCE LIMITED;16273;BC-Business Company;Active;06/02/2008 00:00;International Business Services Ltd.
JAFX LTD;23193;BC-Business Company;Active;08/02/2016 00:00;International Business Services Ltd.
MANAGEMENT SERVICES LIMITED;7720;BC-Business Company;Cancellation Pending;29/01/2001 00:00;International Business Services Ltd.
MED SOLUTIONS HOLDINGS INC.;20087;BC-Business Company;Active;27/01/2012 00:00;International Business Services Ltd.
NAPIER PROPERTIES LIMITED;3;BC-Business Company;Active;15/01/1997 00:00;International Business Services Ltd.
NIKO PHOTOGRAPHY LTD.;22059;BC-Business Company;Active;26/03/2014 00:00;International Business Services Ltd.
ORION-COMMERCIAL SERVIS INC.;17523;BC-Business Company;Cancellation Pending;27/01/2009 00:00;International Business Services Ltd.
OVERSEAS ENGINEERING & CONSTRUCTION CO. (GUA) S.A.;22210;BC-Business Company;Active;01/07/2014 00:00;International Business Services Ltd.
PEARLINE LTD.;20399;BC-Business Company;Cancellation Pending;21/05/2012 00:00;International Business Services Ltd.
PEGASUS TRADING AND CONSULTANCY LTD.;20006;BC-Business Company;Active;21/12/2011 00:00;International Business Services Ltd.
POLYCARPE LTD;22738;BC-Business Company;Cancellation Pending;04/06/2015 00:00;International Business Services Ltd.
PROSECO LIMITED;24108;BC-Business Company;Cancellation Pending;29/06/2017 00:00;International Business Services Ltd.
QUICKSTEP CO., LTD.;18991;BC-Business Company;Cancellation Pending;04/11/2010 00:00;International Business Services Ltd.
ROCHESTER INDEMNITY INSURANCE COMPANY LTD.;24264;BC-Business Company;Active;22/09/2017 00:00;International Business Services Ltd.
SEA LION MARINE LTD.;9669;BC-Business Company;Cancellation Pending;30/07/2002 00:00;International Business Services Ltd.
SOLID ROCK LTD.;23640;BC-Business Company;Cancellation Pending;27/09/2016 00:00;International Business Services Ltd.
TANAKA LTD.;2767;BC-Business Company;Cancellation Pending;11/01/1999 00:00;International Business Services Ltd.
THE WORLD MARKETING GROUP LTD;1586;BC-Continued;Cancellation Pending;22/09/2015 00:00;International Business Services Ltd.
TONGA MANAGEMENT INC;6830;BC-Business Company;Active;16/08/2000 00:00;International Business Services Ltd.
TRADECMX LTD.;23586;BC-Business Company;Active;31/08/2016 00:00;International Business Services Ltd.
TWA INC;19918;BC-Business Company;Cancellation Pending;15/11/2011 00:00;International Business Services Ltd.
UNIVERSAL POWER SA;23044;BC-Business Company;Active;19/11/2015 00:00;International Business Services Ltd.
ZEMWOOD COMPANY LIMITED;9150;BC-Business Company;Cancellation Pending;12/02/2002 00:00;International Business Services Ltd.
BEDFORD CAPITAL LIMITED;21663;BC-Business Company;Active;25/09/2013 00:00;International Business Services Ltd.
